"Fish","name","mean","std","min","max"
"PLEURO","TeplCrust",0.0189201061485633,0.00708161738731897,2.01684866e-06,0.1459291522
"PLEURO","TeplPoly",4.93841503809794e-05,4.64217874352122e-05,1.485533e-10,0.0003819507
"PLEURO","TeplOther",0.00661997345470936,0.00387695722077915,2.7761004e-06,0.0403562308
"PLEURO","SSedBiv",0.0077096089496402,0.00478879249312289,9.99035481e-07,0.056491958
"PLEURO","SSedCrust",0.0264808008117517,0.00974854474660806,4.72801651e-06,0.2042613973
"PLEURO","SSedPoly",0.0181319354097264,0.00784826347315488,8.7498032e-07,0.124484119
"PLEURO","SSedOther",0.0455698843444418,0.0139237386134101,0.0001094888254,0.1390867011
"PLEURO","UbiqBiv",0,0,0,0
"PLEURO","UbiqCrust",0.00106618843546118,0.000980013017338681,1.05559e-07,0.008413773
"PLEURO","UbiqPoly",0.00728933448259029,0.00509548664246362,9.7885950266e-07,0.061811506
"PLEURO","UbiqOther",0.00394922301392709,0.003752110526736,6.886912e-07,0.04430887
"PLEURO","Fish",0.0109539546273713,0.00466852458347169,1.1913916652e-06,0.0661854267
"SCOMBR","Phyto",0,0,0,0
"SCOMBR","Zoo",0.000534352721648375,0.000451931936234274,1.548569e-07,0.0029214
"SCOMBR","SPOM",0,0,0,0
"SCOMBR","SOM",0,0,0,0
"SCOMBR","Benthos",0.00562291789912188,0.00184898085214332,1.682072483e-06,0.024586565
"SCOMBR","TEPL",0.000540878962586509,0.000458327697504028,2.225853e-08,0.003028546
"SCOMBR","SSed",0.00485696766173506,0.00178020891484534,1.65231991e-06,0.020115825
"SCOMBR","Ubiq",0.000225071274800306,0.00019880174244323,7.494043e-09,0.001442194
"SCOMBR","TeplBiv",0,0,0,0
"SCOMBR","TeplCrust",0.000540878962586509,0.000458327697504028,2.225853e-08,0.003028546
"SCOMBR","TeplPoly",0,0,0,0
"SCOMBR","TeplOther",0,0,0,0
"SCOMBR","SSedBiv",0,0,0,0
"SCOMBR","SSedCrust",0.00485696766173506,0.00178020891484534,1.65231991e-06,0.020115825
"SCOMBR","SSedPoly",0,0,0,0
"SCOMBR","SSedOther",0,0,0,0
"SCOMBR","UbiqBiv",0,0,0,0
"SCOMBR","UbiqCrust",0.000225071274800306,0.00019880174244323,7.494043e-09,0.001442194
"SCOMBR","UbiqPoly",0,0,0,0
"SCOMBR","UbiqOther",0,0,0,0
"SCOMBR","Fish",0,0,0,0
"ZEIFOR","Phyto",0,0,0,0
"ZEIFOR","Zoo",8.80871644587755e-05,6.54147839969891e-06,5.779663e-05,0.0001015246
"ZEIFOR","SPOM",0,0,0,0
"ZEIFOR","SOM",0,0,0,0
"ZEIFOR","Benthos",3.64752841122827e-07,2.13733455295494e-07,2.0466351e-11,2.6460534e-06
"ZEIFOR","TEPL",0,0,0,0
"ZEIFOR","SSed",3.64752841122827e-07,2.13733455295494e-07,2.0466351e-11,2.6460534e-06
"ZEIFOR","Ubiq",0,0,0,0
"ZEIFOR","TeplBiv",0,0,0,0
"ZEIFOR","TeplCrust",0,0,0,0
"ZEIFOR","TeplPoly",0,0,0,0
"ZEIFOR","TeplOther",0,0,0,0
"ZEIFOR","SSedBiv",0,0,0,0
"ZEIFOR","SSedCrust",3.12403418910044e-07,2.0836286582674e-07,1.5484475e-11,2.2484e-06
"ZEIFOR","SSedPoly",0,0,0,0
"ZEIFOR","SSedOther",5.23494222127827e-08,4.76120368921451e-08,4.981876e-12,3.976534e-07
"ZEIFOR","UbiqBiv",0,0,0,0
"ZEIFOR","UbiqCrust",0,0,0,0
"ZEIFOR","UbiqPoly",0,0,0,0
"ZEIFOR","UbiqOther",0,0,0,0
"ZEIFOR","Fish",2.86421455205545e-07,1.16824815472266e-07,2.55591716e-11,1.956387e-06
