"","flow","mean","std","minimum","maximum"
"240","PHYTOPLANKT->SUSBIV",19.7716534655889,0.551569617847856,18.0844426903245,21.3421886412065
"241","SPOM->SUSBIV",0.639505403286687,0.26631964286,0.000574348054063423,1.18213988162921
"242","SOM->DETBIV",1.14040953628106,0.0554716722676592,0.92175368354234,1.33485401721722
"243","PHYTOPLANKT->SUSGAS",0.00142243046680227,0.00031176805677068,0.000556564585427629,0.00218619151166114
"244","SPOM->SUSGAS",0.00260430284015715,0.000570810633352207,0.00101900427793392,0.00400265945905503
"245","SAGTRO->PARGAS",0.00134848236219212,0.000921754534974422,5.81403958449522e-07,0.00475918991260655
"246","ZOOPLANKT->PARGAS",0.00219541517952574,0.00162315157120836,1.87023297613855e-07,0.00844455903179292
"247","PHYTOPLANKT->PARGAS",0.00255445097818757,0.00163294810360524,8.67459123849931e-07,0.00872851879218753
"248","SOM->PARGAS",0.00274105718121536,0.00187555161628064,2.28798379300644e-07,0.00983335532477325
"249","SPOM->PARGAS",0.00253440792749084,0.00200462321998599,1.63470158685758e-07,0.0111227648682316
"250","DETAMP->SCAGAS",0.00130861326023025,0.00123222675811521,2.86707329206386e-07,0.00846587368633522
"251","DPAMP->SCAGAS",0.000742572311877962,0.000714122817432007,7.35953578475941e-08,0.00569800029099836
"252","CARSHR->SCAGAS",0.000565238761007393,0.000540076636650664,2.22359853721337e-08,0.00490800278838093
"253","PAGURI->SCAGAS",0.000677434136625576,0.000631558759180976,1.32649823969609e-07,0.00506475080891908
"254","CARNCR->SCAGAS",0.000584818558069774,0.000559489606643033,1.04157626779628e-08,0.00454200929100323
"255","HSUDEBI->SCAGAS",0.00119979612237301,0.00114102559405411,1.69375641588532e-07,0.00881387916276027
"256","SUDEBI->SCAGAS",0.000835996886413425,0.000796568755697892,1.35580699845805e-08,0.00650493052793735
"257","SUSBIV->SCAGAS",0.00123128503751698,0.00116666429590098,1.0090846125277e-07,0.0106175557238255
"258","DETBIV->SCAGAS",0.00168245241548135,0.00158349828056149,7.2035940110563e-08,0.017479359301762
"259","DETPOL->SCAGAS",0.00081210830846991,0.000772221851190755,8.43027757502397e-08,0.00578650957914589
"260","NEPHTY->SCAGAS",0.000656027685603671,0.000612737366845605,9.06688115128931e-08,0.00470199474966687
